no;spbu;coordinate;address;district;city;pr;plg;total;tbbm
34-13406;3413406;S6 14.021 E106 56.747;;;Jakarta;26.3;20.7;47;Plumpang
34-13407;3413407;S6 13.526 E106 55.408;;;Jakarta;20.8;17.2;38;Plumpang
34-13409;3413409;S6 13.544 E106 55.388;;;Jakarta;22.3;19.3;41.6;Plumpang
34-13410;3413410;S6 14.255 E106 55.355;;;Jakarta;28.9;18.2;47.1;Plumpang
34-13411;3413411;S6 14.156 E106 56.084;;;Jakarta;27.6;19.5;47.1;Plumpang
34-13412;3413412;S6 13.731 E106 53.525;;;Jakarta;20.8;14.4;35.2;Plumpang
34-13413;3413413;S6 13.313 E106 53.182;;;Jakarta;29.7;13.3;43;Plumpang
34-13414;3413414;S6 13.598 E106 52.798;;;Jakarta;30.3;12.8;43.1;Plumpang
34-13415;3413415;S6 13.619 E106 56.207;;;Jakarta;26.8;19.5;46.3;Plumpang
34-13416;3413416;S6 13.657 E106 55.592;;;Jakarta;24.8;18.4;43.2;Plumpang
34-13417;3413417;S6 14.107 E106 52.658;;;Jakarta;21.1;12.8;33.9;Plumpang
34-13418;3413418;S6 14.788 E106 56.553;;;Jakarta;28.6;22;50.6;Plumpang
34-13419;3413419;S6 14.525 E106 55.229;;;Jakarta;26.9;19.8;46.7;Plumpang
34-13420;3413420;S6 14.350 E106 53.312;;;Jakarta;18.5;14.5;33;Plumpang
34-13421;3413421;S6 13.103 E106 56.560;;;Jakarta;25.4;19.2;44.6;Plumpang
34-13422;3413422;S6 14.882 E106 55.801;;;Jakarta;26.9;20.5;47.4;Plumpang
34-13501;3413501;S6 17.143 E106 51.309;;;Jakarta;20.6;29.1;49.7;Plumpang
34-13502;3413502;S6 17.367 E106 51.353;;;Jakarta;21;28.7;49.7;Plumpang
34-13503;3413503;S6 17.690 E106 52.919;;;Jakarta;29.5;19.7;49.2;Plumpang
34-13504;3413504;S6 17.439 E106 53.060;;;Jakarta;26.6;19.8;46.4;Plumpang
34-13505;3413505;S6 16.854 E106 52.300;;;Jakarta;27.2;18.5;45.7;Plumpang
